'1', '1', 'CIAPORTE SISTEMAS DE GESTAO', 'FLORIANÓPOLIS-SC', '(48) 3025-2888', 'administrativo@ciaporte.com.br', 'http://www.ciaporte.com.br/'
'2', '6', 'GNOVIT TECNOLOGIA DE INFORMACA', 'FLORIANÓPOLIS-SC', '48 40528322', 'marcelo@gnovit.com', 'http://http//www.gnovit.com'
'2', '7', 'DELINEA TECNOLOGIA EDUCACIONAL', 'FLORIANÓPOLIS-SC', '48 3207-3414', 'adm@delinea.com.br', 'http://www.delinea.com.br/'
'2', '8', 'CONSULTORIA SINTONIA', 'FLORIANÓPOLIS-SC', '(48)40528046', 'fb@ipol.com.br', 'http://www.ipol.com.br/'
'2', '9', 'CS ELETRONICA', 'JOSÉ-SC', '(48) 3381-9970', 'departamento.pessoal@grupokhronos.com.br', 'http://www.cs.ind.br/'
'2', '10', 'HARBOR INFORMATICA INDUSTRIAL LTDA', 'Florianópolis-SC', '(48) 3333-2249', 'adm@harbor.com.br', 'http://http//www.harbor.com.br'
'2', '11', 'IPM SISTEMAS', 'Florianópolis-SC', '(48) 3031-7500', 'marketing@ipm.com.br', 'http://www.ipm.com.br/'
'2', '12', 'GRUPOS INTERNET', 'FLORIANÓPOLIS-SC', '(48) 32344109', 'financeiro@gruposinternet.com.br', 'http://http//www.gruposinternet.com.br/'
'3', '1', 'HOPLON INFOTAINMENT SA', 'FLORIANÓPOLIS-SC', '(48) 3234-1004_', 'pessoal@hoplon.com', 'http://www.hoplon.com/'
'3', '2', 'FLIN INTERNET', 'FLORIANÓPOLIS-SC', '(48) 3331-3444', 'administrativo@linhalivre.net', 'http://www.flin.com.br/'
'3', '3', 'KOMBO GESTÃO ESTRATEGICA DE PESSOAS', 'PALHOÇA-SC', '(48) 3374-4373', 'alessandro@kombo.com.br', 'http://www.kombo.com.br/'
'3', '4', 'GENNERA CONSUL E DESENV DE SOF', 'FLORIANÓPOLIS-SC', '(48) 3236-3214', 'financeiro@gennera.com.br', 'http://http//www.gennera.com.br'
'3', '5', 'LOGOSYSTEM SISTEMA CORPORATIVO DE GESTÃO', 'CRICIÚMA-SC', '(48) 3437-0999', 'logosystem@logosystem.com.br', 'http://www.logosystem.com.br/'
'3', '6', 'GLOBALMINDS CONSULTORIA E SERVIÇOS', 'FLORIANÓPOLIS-SC', '(48) 3879 6500', 'ronny@globalmindsit.com.br', 'http://www.globalmindsit.com.br/'
'3', '7', 'INTELBRAS', 'JOSÉ-SC', '(48) 3281-9500', 'ana.paula@intelbras.com.br', 'http://www.intelbras.com.br/'
'3', '8', 'BLENDUS', 'FLORIANÓPOLIS-SC', '(48) 3028-3300', 'contato@blendus.com.br', 'http://www.blendus.com.br/'
'3', '9', 'EDUBRIX', 'JOINVILLE-SC', '47 34340036', 'julio.cunha@edubrix.com', 'http://www.edubrix.com/'
'3', '10', 'LENKE AUTOMACAO INDUSTRIAL LTD', 'GRAVATAL-SC', '(48) 3301-4000', 'vera@lenke.com.br', 'http://www.lenkeautomacao.com.br/'
'3', '11', 'INVOLVES LTDA ME', 'FLORIANÓPOLIS-SC', '(48) 3209-2099', 'rosie.carla@involves.com.br', 'http://http//www.involves.com.br'
'3', '12', 'CHAORDIC SYSTEMS SA', 'FLORIANÓPOLIS-SC', '(48) 32323200', 'contato@chaordic.com.br', 'http://www.chaordic.com.br/'
'4', '1', 'DIGA', 'FLORIANÓPOLIS-SC', '(48) 3330-1200', 'eder@diga.com.br', 'http://www.diga.com.br/'
'4', '2', 'I8 (I8 INFORMÁTICA)', 'FLORIANÓPOLIS-SC', '(48) 3304-0970', 'contato@i8.com.br', 'http://www.i8.com.br/'
'4', '3', 'INTERATIVA INTEGRADORA DE SOLU', 'FLORIANÓPOLIS-SC', '', 'interativa@intercom.com.br', 'http://www.intercom.com.br/'
'4', '4', 'KNOWTEC LTDA (GRUPO IEA DOT GROUP)', 'FLORIANÓPOLIS-SC', '(48) 3215-2600', 'samantha.prass@dotgroup.com.br', 'http://www.dotgroup.com.br/'
'4', '5', 'HARTMANN DESENVOLVIMENTO DE SO', 'FLORIANÓPOLIS-SC', '(48) 32397620', 'peoplecare@bravi.com.br', 'http://www.bravi.com.br/'
'4', '6', 'UMWELT BIOTECNOLOGIA AMBIENTAL', 'BLUMENAU-SC', '(47) 3325-3703', 'joana@umweltambiental.com.br', 'http://www.umweltambiental.com.br/'
'4', '7', 'GRANTER', 'FLORIANÓPOLIS-SC', '(48) 3238-6040', 'contato@granter.com.br', 'http://www.granter.com.br/'
'4', '8', 'BRY TECNOLOGIA | ASSINATURA E CERTIFICAÇÃO DIGITAL', 'FLORIANÓPOLIS-SC', '(48) 3234-6696', 'rh@bry.com.br', 'http://www.bry.com.br/'
'4', '9', 'LABLINK SYSTEMS INFORMATICA LT', 'FLORIANÓPOLIS-SC', '(48) 3241-3936', 'lablink@lablink.com.br', 'http://www.lablink.com.br/'
'4', '10', 'FLORIPA TECNOLOGIA INDUSTRIA E', 'FLORIANÓPOLIS-SC', '(48) 2108-9000', 'recepcao@floripatec.com.br', 'http://www.floripatec.com.br/'
'4', '11', 'COMANDATA TELEINFORMATICA LTDA', 'FLORIANÓPOLIS-SC', '(48) 8833-5919', 'diretoria.patricia@gmail.com', 'http:'
'4', '12', 'GH3 TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48) 3206-9455', 'gh3@gh3-tech.com', 'http://www.gh3-tech.com/'
'5', '1', 'DUAL SYSTEM', 'JOSÉ-SC', '(48) 3346-4867', 'luciane@dualsystem.com.br', 'http://www.dualsystem.com.br/'
'5', '2', 'CONEXÃONF-E', 'JOINVILLE-SC', '(47) 3512-0001', 'tercilio@conexaonfe.com.br', 'http://http//www.conexaonfe.com.br'
'5', '3', 'HEVO', 'Florianópolis-SC', '(48) 4042-2002', 'hevo@hevo.com.br', 'http://www.hevo.com.br/'
'5', '4', 'CLICBUSINESS SOFTWARE S A', 'FLORIANÓPOLIS-SC', '(48) 2106-7880', 'atendimento@clicbusiness.com.br', 'http://www.clicbusiness.com.br/'
'5', '5', 'KHOMP', 'FLORIANÓPOLIS-SC', '48 3722-2900', 'rh@khomp.com', 'http://www.khomp.com/'
'5', '6', 'IMC - SOLDAGEM', 'PALHOÇA-SC', '(48) 3341 5165', 'vendas@imc-soldagem.com.br', 'http://www.imc-soldagem.com.br/'
'5', '7', 'DÍGITRO', 'FLORIANÓPOLIS-SC', '(48) 3281-7000', 'contato@digitro.com', 'http://www.digitro.com/'
'5', '8', 'HG2S TECNOLOGIA E SERVICOS PAT', 'FLORIANÓPOLIS-SC', '(48) 9907 4070', 'hg2s@hg2s.com.br', 'http://www.hg2s.com.br/'
'5', '9', 'FOCALLE ENGENHARIA VIARIA LTDA', 'JOAÇABA-SC', '(48) 4009-2000', 'rh@grupodagostini.com.br', 'http://www.focalle.com.br/'
'5', '10', 'LABBO LOCACAO DE PROGRAMAS DE', 'FLORIANÓPOLIS-SC', '(48) 4042-0812', 'labbo@labbo.com.br', 'http://http//www.labbo.com.br'
'5', '11', 'CDS INFORMATICA', 'FLORIANÓPOLIS-SC', '(48) 4141-3182', 'marin@cds.inf.br', 'http://www.vegacs.com.br/'
'5', '12', 'UNISENIOR SISTEMAS E PROCESSOS', 'JOSÉ-SC', '(48)3205-1000', 'unisenior@unisenior.com.br', 'http://unisenior.com.br/'
'6', '1', 'DENTEC AUTOMACAO E SISTEMAS LT', 'SUL-RS', '(48) 3205-1000', 'departamento.pessoal@somostecnologia.com.br', 'http:'
'6', '2', 'GOVBR', 'BLUMENAU-SC', '(47) 3036-0000', 'govbr@govbr.com.br', 'http://www.govbr.com.br/'
'6', '3', 'CSP CONTROLE E AUTOMACAO LTDA', 'Florianópolis-SC', '(48) 32456265', 'dhelyo@csp.com.br', 'http://www.csp.com.br/'
'6', '4', 'CARBONO BRASIL', 'FLORIANÓPOLIS-SC', '(48) 3232-2133', 'admin@carbonobrasil.com', 'http://www.carbonobrasil.com/'
'6', '5', 'IPTRUST TECNOLOGIA LTDA', 'FLORIANÓPOLIS-SC', '(48) 3333-1551', 'valeria@iptrust.com.br', 'http://www.iptrust.com.br/'
'6', '6', 'DB CONSULT INFORMATICA LTDA', 'PALHOÇA-SC', '(48) 3205-9909', 'dbconsult@dbconsult.inf.br', 'http://www.dbconsult.inf.br/'
'6', '7', 'IONICS', 'FLORIANÓPOLIS-SC', '(48) 3333-8666', 'financeiro@ionics.com.br', 'http://www.ionics.com.br/'
'6', '8', 'INSTITUTO STELA', 'FLORIANÓPOLIS-SC', '(48) 3239-2576', 'adm@stela.org.br', 'http://www.stela.org.br/'
'6', '9', 'EDUMASTER SOLUCOES EM GESTAO D', 'FLORIANÓPOLIS-SC', '(48) 33331998', 'demetrius.ribeiro@totvs.com.br.', 'http:'
'6', '10', 'CIANET INDUSTRIA E COMERCIO LT', 'FLORIANÓPOLIS-SC', '(48) 2106-0101', 'pessoas@cianet.com.br', 'http://www.cianet.com.br/'
'6', '11', 'ECENTRY TECNOLOGIA DA INFORMACAO EIRELI', 'FLORIANÓPOLIS-SC', '(48) 3031-6200', 'cpagar@ecentry.com', 'http://www.ecentry.com/'
'6', '12', 'CVA REPRESENTACOES LTDA EPP', 'FLORIANÓPOLIS-SC', '(48) 2107-3731', 'contatocva@audaces.com', 'http:'
'7', '1', 'PAULO ALEX DARIVA ME', 'FLORIANÓPOLIS-SC', '(48)9948-9431', 'contato@technino.com.br', 'http://www.technino.com.br/'
'7', '2', 'IT MOVES IT BRASIL', 'PALHOÇA-SC', '(48) 9933-9301', 'renata@itmovesit.com', 'http://www.itmovesit.com/'
'7', '3', 'CELLMIDIA', 'FLORIANÓPOLIS-SC', '(48) 3028-2221', 'comercial@cellmidia.com.br', 'http://http//www.cellmidia.com.br'
'7', '4', 'DATA SPACE SERVICOS TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48) 4052-8300', 'equipe@dataspace.com.br', 'http://http//www.dataspace.com.br'
'7', '5', 'INERGIAE CONVERSORES ESTATICOS LTDA', 'FLORIANÓPOLIS-SC', '(48) 3024-1906', 'inergiae@inergiae.com.br', 'http://www.inergiae.com.br/'
'7', '6', 'GEOENERGY ENGENHARIA', 'FLORIANÓPOLIS-SC', '(48) 3222 4262', 'thais.abreu@geoenergy.com.br', 'http://www.geoenergy.com.br/'
'7', '7', 'IDEALL SISTEMAS', 'NORTE-SC', '(48) 3658-8595', 'contato@ideallsistemas.com.br', 'http://www.ideallsistemas.com.br/'
'7', '8', 'CLIMBA COMMERCE', 'NORTE-SC', '(48) 3658-4743', 'contato@climba.com.br', 'http://www.climba.com.br/'
'7', '9', 'FABIO DO NASCIMENTO ME', 'JOSÉ-SC', '(48) 33331551 -', 'fabio@fabiodonascimento.com.br', 'http:'
'7', '10', 'INFOCONT SISTEMAS INTEGRADOS L', 'JOINVILLE-SC', '(47)3423-0166', 'contato@infocont.com.br', 'http://www.infocont.com.br/'
'7', '11', 'DIALETTO COMUNICACAO ESTRATEGI', 'FLORIANÓPOLIS-SC', '(48)4009-3223', 'agencia@dialetto.com.br', 'http://www.dialetto.com.br/'
'7', '12', 'FMA SOLUCOES WEB LTDA ME', 'FLORIANÓPOLIS-SC', '(48) 91226677', 'ferrari.work@gmail.com', 'http:'
'8', '1', 'EXTRA DIGITAL', 'FLORIANÓPOLIS-SC', '(48) 3226-0001', 'eliani@extradigital.com.br', 'http://www.extradigital.com.br/'
'8', '2', 'EZOK', 'BLUMENAU-SC', '(47) 9252-3737', 'CONTATO@EZOK.AI', 'http://https//ezok.ai'
'8', '3', 'INFOGEN SISTEMAS', 'CHAPECÓ-SC', '(49) 3330-5700', 'rh@infogen.com.br', 'http://www.infogen.com.br/'
'8', '4', 'INNOVO', 'JOINVILLE-SC', '(47) 3431-7319', 'financeiro@innovo.com.br', 'http://www.innovo.com.br/'
'8', '5', 'CLEMAR ENGENHARIA', 'FLORIANÓPOLIS-SC', '(48)3331- 3000', 'administracao@clemar.com.br', 'http://www.clemar.com.br/'
'8', '6', 'GK SISTEMAS LTDA', 'PALHOÇA-SC', '(48) 3283-0008', 'gk@gksis.com.br', 'http:'
'8', '7', 'LECTRON INDUSTRIA E COMERCIO L', 'FLORIANÓPOLIS-SC', '32322600', 'marcosmatias@lectron.com.br', 'http://http//www.lectron.com.br'
'8', '8', 'CONCEITUAL - SISTEMAS DE INFORMAÇÃO', 'JOSÉ-SC', '(48)3035-2040', 'contato@conceitual.inf.br', 'http://www.conceitual.inf.br/'
'8', '9', 'IMENZE TECNOLOGIAS MOVEIS EIRE', 'FLORIANÓPOLIS-SC', '(48)3049-9928', 'clesio@specto.com.br', 'http://www.imenze.com/'
'8', '10', 'ADSIM SISTEMAS', 'JOSÉ-SC', '(48) 30340244', 'suporte@adsim.com.br', 'http://adsim.co/'
'8', '11', 'INTRADEBOOK (IT MOVES IT)', 'FLORIANÓPOLIS-SC', '32339131', 'diretoria@intradebook.com', 'http://http//www.intradebook.com'
'8', '12', 'TRIPLICE', 'FLORIANÓPOLIS-SC', '(48) 3338-0248', 'marcio.mahl@tripliceconsultoria.com.br', 'http://http//tripliceconsultoria.com.br/'
'9', '1', 'J TECH SOLUCOES EM INFORMATICA', 'JOSÉ-SC', '(48) 3381-0901', 'financeiro@jtech.com.br', 'http://www.jtech.com.br/'
'9', '2', 'FLEXMOBILE', 'FLORIANÓPOLIS-SC', '(48) 3035-2310', 'dalazen@flexmobile.com.br', 'http://www.flexmobile.com.br/'
'9', '3', 'INCREMENTAL CONSULTORIA E ASSESSORIA EM QUALIDADE', 'FLORIANÓPOLIS-SC', '(48) 9996-86895', 'incremental@incremental.com.br', 'http://www.incremental.com.br/'
'9', '4', 'CATARINAS DESIGN', 'FLORIANÓPOLIS-SC', '(48) 3307-4243', 'contato@catarinasdesign.com.br', 'http://http//catarinasdesign.com.br'
'9', '5', 'INOVA SERVICOS TECNOLOGICOS LT', 'CHAPECÓ-SC', '(49) 3319-3900', 'financeiro@inovainfo.com.br', 'http://www.inovainfo.com.br/'
'9', '6', 'GO ON - GESTÃO DE PROJETOS E SOLUÇÕES EM TI', 'BLUMENAU-SC', '(48) 9916-3434', 'leonel.furtado@goon.inf.br', 'http://www.goon.inf.br/'
'9', '7', 'I3G', 'FLORIANÓPOLIS-SC', '(48) 3025-6609', 'i3g@i3g.org.br', 'http://www.institutoi3g.org.br/'
'9', '8', 'HYDRA REPRESENTACOES ASSESSORI', 'JOINVILLE-SC', '(47) 3025-7902', 'mcidang@hydracomex.com.br', 'http:'
'9', '9', 'GRUPO DE HARDWARE E SOFTWARE', 'FLORIANÓPOLIS-SC', '(48) 3233-6959', 'leda@ghs.com.br', 'http://www.ghs.com.br/'
'9', '10', 'FABIO SOARES NUNES ME', 'PALHOÇA-SC', '(48) 8431-0081', 'fabio@fabiosnunes.com.br', 'http:'
'9', '11', 'GNTECH LABORATORIO', 'FLORIANÓPOLIS-SC', '(48) 3028-9788', 'customercare@gntech.med.br', 'http://www.gntech.med.br/'
'9', '12', 'ESAPIENS TECNOLOGIA SA', 'FLORIANÓPOLIS-SC', '(14) 3243-3733', 'rh@esapiens.com.br', 'http://esapiens.com.br/'
'10', '1', 'PROJURIS', 'JOINVILLE-SC', '(47) 30861905', 'cristiane.moraes@projuris.com.br', 'http://www.projuris.com.br/'
'10', '2', 'ENDURANCE BRASIL HOLDDING PARTICIPACOES LTDA', 'FLORIANÓPOLIS-SC', '(48) 0000-00000', 'salete.queiroz@hostgator.com.br', 'http://www.hostgatorbrasil.com.br/'
'10', '3', 'CONTRONICS', 'FLORIANÓPOLIS-SC', '(48) 2106-2222', 'adm.contronics@contronics.com.br', 'http://www.contronics.com.br/'
'10', '4', 'GATI TECNOLOGIA DA INFORMACAO', 'JOINVILLE-SC', '(47) 3145-4400', 'tercilio@gati.net.br', 'http://http//www.gati.net.br'
'10', '5', 'INSTITUTO NEXXERA', 'FLORIANÓPOLIS-SC', '48 2106-5698', 'fabricio.osorio@nexxera.com', 'http:'
'10', '6', 'CALETA BRASIL DESENVOLVIMENTO DE SISTEMAS EIRELI', 'FLORIANÓPOLIS-SC', '(48) 9995-30725', 'financial@caletagaming.com', 'http://www.caletagaming.com/'
'10', '7', 'CHAG SOLUÇÕES WEB', 'FLORIANÓPOLIS-SC', '(48) 4052-8012', 'contato@chagbrasil.com', 'http://www.chagbrasil.com/'
'10', '8', 'INTERSECTI DESENVOLVIMENTO DE SOFTWARE LTDA', 'FLORIANÓPOLIS-SC', '(48)3365-9368', 'contato@intersecti.com', 'http://intersecti.com/'
'10', '9', 'HITECHBRASIL SOFTWARE E INTERN', 'FLORIANÓPOLIS-SC', '(48) 3222-3128', 'contato@hitechbrasil.com.br', 'http://www.hitechbrasil.com.br/'
'10', '10', 'A INNOTECH BRASIL', 'FLORIANÓPOLIS-SC', '(48) 3025-7171', 'leonardo.biazi@innovasens.com', 'http:'
'10', '11', 'COMPSUL INFORMATICA COMPUTADOR', 'FLORIANÓPOLIS-SC', '(48) 3024-0101', 'fabio@intercom.com.br', 'http:'
'10', '12', 'AGEON ELECTRONIC CONTROLS', 'PALHOÇA-SC', '48 3028 8878', 'adm2@ageon.com.br', 'http:'
'11', '1', 'JXS INFORMATICA LTDA (GRUPO SOFTPLAN)', 'FLORIANÓPOLIS-SC', '(48) 3027-8000', 'bruna.cruz@softplan.com.br', 'http:'
'11', '2', 'GWORK CONSULTORIA E SISTEMAS L', 'FLORIANÓPOLIS-SC', '(48) 3239-2298', 'comercial@gworksys.com.br', 'http://www.gwork.com.br/'
'11', '3', 'LEGHOO.COM', 'FLORIANÓPOLIS-SC', '(48) 3365-3127', 'leghoo@leghoo.com', 'http://www.leghoo.com/'
'11', '4', 'DIGICART', 'TRENTO-SC', '(48) 3267-0022', 'digicart@digicart.com.br', 'http:'
'11', '5', 'COMPANHIA ENERGETICA RIO DAS F', 'FLORIANÓPOLIS-SC', '(48) 32384830', 'administrativo@neoenergy.srv.br', 'http://www.ciariodasflores.com.br/'
'11', '6', 'CONSOLIDADOS COMERCIO E SERVIC', 'JOSÉ-SC', '(48) 3034-2211', 'aurelio@consolidados.com.br', 'http:'
'11', '7', 'D.Y', 'JOSE-SC', '(48) 3259-5977_', 'macedo@deggy.com', 'http://www.deggy.com.br/'
'11', '8', 'FUNDACAO SOFTVILLE', 'JOINVILLE-SC', '(47) 3422-7077', 'softiville@softiville.org.br', 'http://www.softville.org.br/'
'11', '9', 'INTERACCESS COMUNICACOES', 'FLORIANÓPOLIS-SC', '(48) 3331-3400', 'administrativo@iaccess.com.br', 'http://www.flin.com.br/'
'11', '10', 'JEXPERTS TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48) 3025-7547', 'contato@jexperts.com.br', 'http://www.jexperts.com.br/'
'11', '11', 'DIGILAB S A', 'FLORIANOPOLIS-SC', '(48) 3091-4700', 'faleconosco@digilab.com.br', 'http://www.digilab.com.br/'
'11', '12', 'F4TH', 'FLORIANÓPOLIS-SC', '(48) 3028-5188', 'geral@f4thint.com.br', 'http://www.f4thint.com.br/'
'12', '1', 'DOT', 'FLORIANÓPOLIS-SC', '(48) 3953-8000', '', 'http://www.dotgroup.com.br/'
'12', '2', 'GOMIX SOLUCOES INTERNET LTDA', 'FLORIANÓPOLIS-SC', '(48) 9916-41204', 'gomes@rogeriogomes.com', 'http://www.gomix.com.br/'
'12', '3', 'E3C TECNOLOGIA LTDA', 'FLORIANÓPOLIS-SC', '(48) 3024-0790', 'vivianne@e3c.com.br', 'http:'
'12', '4', 'INSTITUTO GENE BLUMENAU', 'BLUMENAU-SC', '(47) 3326-6007', 'executivo@institutogene.org.br', 'http://http//www.institutogene.org.br/'
'12', '5', 'GTLOG INDUSTRIA COM E SERVICO', 'FLORIANÓPOLIS-SC', '(48) 3344-3963', 'gtt@gtt.com.br', 'http://http//gttlogistics.com.br/'
'12', '6', 'GTT IND E COM DE SOLUCOES TECNOLÓGICAS', 'FLORIANÓPOLIS-SC', '(48) 3234-0822', 'gtt@gtt.com.br', 'http://www.gtt.com.br/'
'12', '7', 'CHEESECAKE LABS LTDA ME', 'FLORIANÓPOLIS-SC', '(48) 3206-5246', 'admin@ckl.io', 'http://www.ckl.io/'
'12', '8', 'JS CONSULTORIA SS LTDA', 'JOSÉ-SC', '(48) 3224-8492', 'financeiro@sacara.com.br', 'http://www.jsprime.com.br/'
'12', '9', 'XPTECH', 'JOSÉ-SC', '(48) 9164-8010', 'jcprodutora@gmail.com', 'http:'
'12', '10', 'TAINE GARCIA', 'José-SC', '(48) 3034-0808_', 'garcia.taine@gmail.com', 'http://www.itsystems.com.br/'
'12', '11', 'ESSS', 'FLORIANÓPOLIS-SC', '48 3953 0000', 'diane.ramos@esss.com.br', 'http://http//esss.co'
'12', '12', 'INFOPOWER REPRESENTACOES LTDA', 'JOSÉ-SC', '(48) 3232-6523', 'marciaaloma@hotmail.com', 'http:'
'13', '1', 'METALURGICA CIPRIANI LTDA', 'PALHOÇA-SC', '(48) 3283-6037', 'metalurgicacipriani@brturbo.com.br', 'http://www.metalurgicacipriani.com.br/'
'13', '2', 'BZPLAN ENGENHARIA E CONSULTORI', 'FLORIANÓPOLIS-SC', '(48) 9631-4555', 'marcelo@bzplan.bz', 'http://www.bzplan.bz/'
'13', '3', 'DINAMICA SOFTWARE LTDA', 'FLORIANÓPOLIS-SC', '(48) 41071875', 'marilda.alfama@gmail.com', 'http://www.dinamicasoft.com.br/'
'13', '4', 'HMG TECNOLOGIA DA INFORMACAO LTDA ME', 'FLORIANÓPOLIS-SC', '(48) 3334-7178', 'hmg@hmg.eti.br', 'http://http//www.hmg.eti.br/'
'13', '5', 'FIVE MINDS - GESTÃO DE CONTEÚDO EDUCACIONAL LTDA', 'JOSÉ-SC', '(48) 9953-3203', 'leodinizpp@gmail.com', 'http://https//www.facebook.com/fiveestrategias/'
'13', '6', 'CSP SOLUCOES LTDA', 'FLORIANÓPOLIS-SC', '(48) 3202-7758', 'silpasa@gmail.com', 'http://www.csp.com.br/'
'13', '7', 'ILHA4 SISTEMAS', 'FLORIANÓPOLIS-SC', '(48)9167-8686', 'bisteca@agriness.com', 'http:'
'13', '8', '180 HUB', 'FLORIANÓPOLIS-SC', '4830390747', 'contato@180hub.com.br', 'http://www.180hub.com.br/'
'13', '9', 'BW TECNOLOGIA DA INFORMACAO LTDA ME', 'PALHOÇA-SC', '(48 ) 9137-7147', 'beny.barreto@gmail.com', 'http:'
'13', '10', 'CABS TECNOLOGIA DA INFORMACAO', 'JOINVILLE-SC', '(047) 88654245', 'caio@cabs.inf.br', 'http://www.lovedata.com.br/'
'13', '11', 'CANAL DE VENDAS SANTA CATARINA', 'FLORIANÓPOLIS-SC', '(48) 9908-8040', 'fabiano.palmieri@gmail.com', 'http:'
'13', '12', 'VAGAMAPS', 'CRICIÚMA-SC', '(48) 3444-3772', 'wi-stop@hotmail.com', 'http://www.vagamaps.com.br/'
'14', '1', 'CSE', 'Blumenau-SC', '47 3329-1602', 'contato@cseonline.com.br', 'http://www.cseonliine.com.br/'
'14', '2', 'IT2 SERVICOS DE TECNOLOGIA DA INF LTDA (GRUPO AYTY)', 'FLORIANÓPOLIS-SC', '(48) 3298-7500', 'adriana.faria@aytycrm.com.br', 'http:'
'14', '3', 'DBA TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48) 3028-4041', 'dba@dba.eng.br', 'http://www.dba.eng.br/'
'14', '4', 'REAL TI SOLUÇÕES EM TECNOLOGIA DA INFORMAÇÃO', 'FLORIANÓPOLIS-SC', '(48)40528342', 'contato@grupocloud.com.br', 'http://http//grupocloud.com.br'
'14', '5', 'DPTR', 'FLORIANÓPOLIS-SC', '(48) 3239-2275', 'claudia@dptr.com.br', 'http://www.dptr.com.br/'
'14', '6', 'CRBS TECH', 'FLORIANÓPOLIS-SC', '(48) 3206-6511', 'contato@crbstech.com', 'http://www.crbstech.com/'
'14', '7', 'INTELIDATA INFORMÁTICA LTDA.', 'BRUSQUE-SC', '47 3251-1750', 'contasapagar@intelidata.inf.br', 'http://www.intelidata.inf.br/'
'14', '8', 'HSYSTEM TECNOLOGIA LTDA ME', 'FLORIANÓPOLIS-SC', '(48) 3024-2423', 'contato@hsystem.com.br', 'http://hsystem.com.br/'
'14', '9', 'KOERICH ENGENHARIA E TELECOMUNICAÇÕES S/A', 'JOSÉ-SC', '48 3271-3800', 'vanio@kch.com.br e', 'http:'
'14', '10', 'IASOFT CONSULTORIA', 'FLORIANÓPOLIS-SC', '(48) 3364-2240', 'eduardo@iasoft.com.br', 'http://www.iasoft.com.br/'
'14', '11', 'IBUY PROCESSADORA DE RECEBÍVEIS LTDA.', 'PALHOÇA-SC', '(48) 40528497', 'controladoria@ibuypag.com.br', 'http://www.ibuypag.com.br/'
'14', '12', 'EVOSIX', 'BRUSQUE-SC', '(47) 3355-1030', 'pablo@evosix.com.br', 'http://www.evosix.com.br/'
'15', '1', 'INFOMEDICAL', 'JOSÉ-SC', '(48) 3207-8352', 'suporte@infomedical.info', 'http://infomedical.info/'
